,0,1,2,3,4
0,800.0,800.0,1000.0,1000.0,800.0
1,800.0,800.0,600.0,600.0,800.0
2,400.0,400.0,1000.0,400.0,1000.0
3,600.0,400.0,1000.0,600.0,600.0
4,800.0,400.0,1000.0,1000.0,600.0
5,1000.0,600.0,800.0,800.0,800.0
6,800.0,1000.0,1000.0,600.0,600.0
7,800.0,600.0,400.0,800.0,600.0
8,400.0,1000.0,400.0,600.0,800.0
9,1000.0,400.0,1000.0,1000.0,400.0
10,600.0,600.0,800.0,400.0,1000.0
11,800.0,600.0,800.0,600.0,800.0
12,400.0,800.0,600.0,400.0,400.0
13,1000.0,600.0,600.0,800.0,400.0
14,400.0,400.0,1000.0,800.0,600.0
15,800.0,800.0,1000.0,800.0,600.0
16,400.0,800.0,600.0,400.0,400.0
17,800.0,800.0,600.0,400.0,800.0
18,600.0,400.0,1000.0,400.0,600.0
19,400.0,1000.0,400.0,600.0,1000.0
